Year_Month,Card_type,Line,Trip
May-19,Day Pass without SAF,F4 Cross Harbour,1
May-19,Employee,F4 Cross Harbour,1449
May-19,Free Travel,F4 Cross Harbour,457
May-19,School Student,F4 Cross Harbour,590
May-19,Senior/Pensioner,F4 Cross Harbour,50136
May-19,Sgl Trip Ferry Adult,F4 Cross Harbour,10499
May-19,Sgl Trip Ferry Child/Youth,F4 Cross Harbour,2130
May-19,Adult,F5 Neutral Bay,32021
May-19,CTP,F5 Neutral Bay,2340
May-19,Child/Youth,F5 Neutral Bay,1400
May-19,Concession,F5 Neutral Bay,1229
May-19,Employee,F5 Neutral Bay,263
May-19,Free Travel,F5 Neutral Bay,78
May-19,School Student,F5 Neutral Bay,104
May-19,Senior/Pensioner,F5 Neutral Bay,10685
May-19,Sgl Trip Ferry Adult,F5 Neutral Bay,1152
May-19,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,230
May-19,Adult,F6 Mosman Bay,44369
May-19,CTP,F6 Mosman Bay,2621
May-19,Child/Youth,F6 Mosman Bay,1983
May-19,Concession,F6 Mosman Bay,1574
May-19,Employee,F6 Mosman Bay,284
May-19,Free Travel,F6 Mosman Bay,75
May-19,School Student,F6 Mosman Bay,114
May-19,Senior/Pensioner,F6 Mosman Bay,12351
May-19,Sgl Trip Ferry Adult,F6 Mosman Bay,1004
May-19,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,251
May-19,Adult,F7 Double Bay,12942
May-19,CTP,F7 Double Bay,1653
May-19,Child/Youth,F7 Double Bay,564
May-19,Concession,F7 Double Bay,287
May-19,Employee,F7 Double Bay,18
May-19,Free Travel,F7 Double Bay,11
May-19,School Student,F7 Double Bay,3
May-19,Senior/Pensioner,F7 Double Bay,3168
May-19,Sgl Trip Ferry Adult,F7 Double Bay,574
May-19,Sgl Trip Ferry Child/Youth,F7 Double Bay,98
May-19,Adult,F8 Cockatoo Island,31733
May-19,CTP,F8 Cockatoo Island,2353
May-19,Child/Youth,F8 Cockatoo Island,2838
May-19,Concession,F8 Cockatoo Island,1301
May-19,Day Pass Child/Youth w/o SAF,F8 Cockatoo Island,107
May-19,Day Pass without SAF,F8 Cockatoo Island,13
May-19,Employee,F8 Cockatoo Island,160
May-19,Free Travel,F8 Cockatoo Island,44
May-19,School Student,F8 Cockatoo Island,213
May-19,Senior/Pensioner,F8 Cockatoo Island,8899
May-19,Sgl Trip Ferry Adult,F8 Cockatoo Island,814
May-19,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,159
Jun-19,Adult,118F Newcastle,24350
Jun-19,Child/Youth,118F Newcastle,4418
Jun-19,Concession,118F Newcastle,886
Jun-19,Employee,118F Newcastle,406
Jun-19,Free Travel,118F Newcastle,463
Jun-19,School Student,118F Newcastle,1596
Jun-19,Senior/Pensioner,118F Newcastle,9617
Jun-19,Adult,F1 Manly,177835
Jun-19,CTP,F1 Manly,12645
Jun-19,Child/Youth,F1 Manly,20201
Jun-19,Concession,F1 Manly,6330
Jun-19,Employee,F1 Manly,1205
Jun-19,Free Travel,F1 Manly,569
Jun-19,School Student,F1 Manly,269
Jun-19,Senior/Pensioner,F1 Manly,48811
Jun-19,Sgl Trip Ferry Adult,F1 Manly,8559
Jun-19,Sgl Trip Ferry Child/Youth,F1 Manly,1945
Jun-19,Adult,F2 Taronga Zoo,75607
Jun-19,CTP,F2 Taronga Zoo,4525
Jun-19,Child/Youth,F2 Taronga Zoo,15164
Jun-19,Concession,F2 Taronga Zoo,2393
Jun-19,Day Pass Child/Youth w/o SAF,F2 Taronga Zoo,2
Jun-19,Employee,F2 Taronga Zoo,386
Jun-19,Free Travel,F2 Taronga Zoo,118
Jun-19,School Student,F2 Taronga Zoo,56
Jun-19,Senior/Pensioner,F2 Taronga Zoo,12344
Jun-19,Sgl Trip Ferry Adult,F2 Taronga Zoo,5280
Jun-19,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,1875
Jun-19,Adult,F3 Parramatta River,135764
Jun-19,CTP,F3 Parramatta River,9476
Jun-19,Child/Youth,F3 Parramatta River,13700
Jun-19,Concession,F3 Parramatta River,3303
Jun-19,Day Pass Child/Youth w/o SAF,F3 Parramatta River,26
Jun-19,Day Pass without SAF,F3 Parramatta River,2
Jun-19,Employee,F3 Parramatta River,664
Jun-19,Free Travel,F3 Parramatta River,193
Jun-19,School Student,F3 Parramatta River,244
Jun-19,Senior/Pensioner,F3 Parramatta River,26568
Jun-19,Sgl Trip Ferry Adult,F3 Parramatta River,3388
Jun-19,Sgl Trip Ferry Child/Youth,F3 Parramatta River,1093
Jun-19,Adult,F4 Cross Harbour,235426
Jun-19,CTP,F4 Cross Harbour,20058
Jun-19,Child/Youth,F4 Cross Harbour,38478
Jun-19,Concession,F4 Cross Harbour,6646
Jun-19,Day Pass Child/Youth w/o SAF,F4 Cross Harbour,37
Jun-19,Day Pass without SAF,F4 Cross Harbour,5
Jun-19,Employee,F4 Cross Harbour,1414
Jun-19,Free Travel,F4 Cross Harbour,494
Jun-19,School Student,F4 Cross Harbour,445
Jun-19,Senior/Pensioner,F4 Cross Harbour,50438
Jun-19,Sgl Trip Ferry Adult,F4 Cross Harbour,11727
Jun-19,Sgl Trip Ferry Child/Youth,F4 Cross Harbour,3951
Jun-19,Adult,F5 Neutral Bay,27891
Jun-19,CTP,F5 Neutral Bay,2290
Jun-19,Child/Youth,F5 Neutral Bay,2078
Jun-19,Concession,F5 Neutral Bay,1033
Jun-19,Day Pass Child/Youth w/o SAF,F5 Neutral Bay,1
Jun-19,Employee,F5 Neutral Bay,212
Jun-19,Free Travel,F5 Neutral Bay,58
Jun-19,School Student,F5 Neutral Bay,87
Jun-19,Senior/Pensioner,F5 Neutral Bay,9252
Jun-19,Sgl Trip Ferry Adult,F5 Neutral Bay,1042
Jun-19,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,356
Jun-19,Adult,F6 Mosman Bay,39379
Jun-19,CTP,F6 Mosman Bay,2760
Jun-19,Child/Youth,F6 Mosman Bay,2918
Jun-19,Concession,F6 Mosman Bay,1462
Jun-19,Day Pass Child/Youth w/o SAF,F6 Mosman Bay,1
Jun-19,Employee,F6 Mosman Bay,274
Jun-19,Free Travel,F6 Mosman Bay,79
Jun-19,School Student,F6 Mosman Bay,113
Jun-19,Senior/Pensioner,F6 Mosman Bay,10619
Jun-19,Sgl Trip Ferry Adult,F6 Mosman Bay,973
Jun-19,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,353
Jun-19,Adult,F7 Double Bay,11277
Jun-19,CTP,F7 Double Bay,1518
Jun-19,Child/Youth,F7 Double Bay,874
Jun-19,Concession,F7 Double Bay,222
Jun-19,Day Pass Child/Youth w/o SAF,F7 Double Bay,2
Jun-19,Employee,F7 Double Bay,18
Jun-19,Free Travel,F7 Double Bay,15
Jun-19,School Student,F7 Double Bay,1
Jun-19,Senior/Pensioner,F7 Double Bay,2794
Jun-19,Sgl Trip Ferry Adult,F7 Double Bay,555
Jun-19,Sgl Trip Ferry Child/Youth,F7 Double Bay,169
Jun-19,Adult,F8 Cockatoo Island,28911
Jun-19,CTP,F8 Cockatoo Island,2337
Jun-19,Child/Youth,F8 Cockatoo Island,3622
Jun-19,Concession,F8 Cockatoo Island,1122
Jun-19,Day Pass Child/Youth w/o SAF,F8 Cockatoo Island,11
Jun-19,Day Pass without SAF,F8 Cockatoo Island,1
Jun-19,Employee,F8 Cockatoo Island,119
Jun-19,Free Travel,F8 Cockatoo Island,31
Jun-19,School Student,F8 Cockatoo Island,152
Jun-19,Senior/Pensioner,F8 Cockatoo Island,7684
Jun-19,Sgl Trip Ferry Adult,F8 Cockatoo Island,758
Jun-19,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,243
Jul-19,Adult,118F Newcastle,28284
Jul-19,Child/Youth,118F Newcastle,8589
Jul-19,Concession,118F Newcastle,957
Jul-19,Day Pass without SAF,118F Newcastle,1
Jul-19,Employee,118F Newcastle,553
Jul-19,Free Travel,118F Newcastle,505
Jul-19,School Student,118F Newcastle,1055
Jul-19,Senior/Pensioner,118F Newcastle,11679
Jul-19,Adult,F1 Manly,195034
Jul-19,CTP,F1 Manly,10926
Jul-19,Child/Youth,F1 Manly,34527
Jul-19,Concession,F1 Manly,6472
Jul-19,Day Pass without SAF,F1 Manly,7
Jul-19,Employee,F1 Manly,1321
Jul-19,Free Travel,F1 Manly,516
Jul-19,School Student,F1 Manly,112
Jul-19,Senior/Pensioner,F1 Manly,53419
Jul-19,Sgl Trip Ferry Adult,F1 Manly,10051
Jul-19,Sgl Trip Ferry Child/Youth,F1 Manly,3653
Jul-19,Adult,F2 Taronga Zoo,83358
Jul-19,CTP,F2 Taronga Zoo,4193
Jul-19,Child/Youth,F2 Taronga Zoo,26356
Jul-19,Concession,F2 Taronga Zoo,2718
Jul-19,Day Pass without SAF,F2 Taronga Zoo,1
Jul-19,Employee,F2 Taronga Zoo,314
Jul-19,Free Travel,F2 Taronga Zoo,116
Jul-19,School Student,F2 Taronga Zoo,25
Jul-19,Senior/Pensioner,F2 Taronga Zoo,13657
Jul-19,Sgl Trip Ferry Adult,F2 Taronga Zoo,6248
Jul-19,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,3051
Jul-19,Adult,F3 Parramatta River,150020
Jul-19,CTP,F3 Parramatta River,9718
Jul-19,Child/Youth,F3 Parramatta River,20497
Jul-19,Concession,F3 Parramatta River,3398
Jul-19,Day Pass Child/Youth w/o SAF,F3 Parramatta River,21
Jul-19,Employee,F3 Parramatta River,595
Jul-19,Free Travel,F3 Parramatta River,256
Jul-19,School Student,F3 Parramatta River,187
Jul-19,Senior/Pensioner,F3 Parramatta River,29613
Jul-19,Sgl Trip Ferry Adult,F3 Parramatta River,3734
Jul-19,Sgl Trip Ferry Child/Youth,F3 Parramatta River,1881
Jul-19,Adult,F4 Cross Harbour,221632
Jul-19,CTP,F4 Cross Harbour,16195
Jul-19,Child/Youth,F4 Cross Harbour,46947
Jul-19,Concession,F4 Cross Harbour,5312
Jul-19,Day Pass without SAF,F4 Cross Harbour,1
Jul-19,Employee,F4 Cross Harbour,1237
Jul-19,Free Travel,F4 Cross Harbour,398
Jul-19,School Student,F4 Cross Harbour,202
Jul-19,Senior/Pensioner,F4 Cross Harbour,45421
Jul-19,Sgl Trip Ferry Adult,F4 Cross Harbour,12205
Jul-19,Sgl Trip Ferry Child/Youth,F4 Cross Harbour,5545
Jul-19,Adult,F5 Neutral Bay,29195
Jul-19,CTP,F5 Neutral Bay,2485
Jul-19,Child/Youth,F5 Neutral Bay,2806
Jul-19,Concession,F5 Neutral Bay,1066
Jul-19,Employee,F5 Neutral Bay,246
Jul-19,Free Travel,F5 Neutral Bay,51
Jul-19,School Student,F5 Neutral Bay,29
Jul-19,Senior/Pensioner,F5 Neutral Bay,9273
Jul-19,Sgl Trip Ferry Adult,F5 Neutral Bay,1170
Jul-19,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,506
Jul-19,Adult,F6 Mosman Bay,40738
Jul-19,CTP,F6 Mosman Bay,2737
Jul-19,Child/Youth,F6 Mosman Bay,3327
Jul-19,Concession,F6 Mosman Bay,1523
Jul-19,Employee,F6 Mosman Bay,246
Jul-19,Free Travel,F6 Mosman Bay,59
Jul-19,School Student,F6 Mosman Bay,49
Jul-19,Senior/Pensioner,F6 Mosman Bay,11107
Jul-19,Sgl Trip Ferry Adult,F6 Mosman Bay,1055
Jul-19,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,501
Jul-19,Adult,F7 Double Bay,11639
Jul-19,CTP,F7 Double Bay,1726
Jul-19,Child/Youth,F7 Double Bay,1193
Jul-19,Concession,F7 Double Bay,203
Jul-19,Employee,F7 Double Bay,15
Jul-19,Free Travel,F7 Double Bay,11
Jul-19,School Student,F7 Double Bay,1
Jul-19,Senior/Pensioner,F7 Double Bay,2804
Jul-19,Sgl Trip Ferry Adult,F7 Double Bay,558
Jul-19,Sgl Trip Ferry Child/Youth,F7 Double Bay,232
Jul-19,Adult,F8 Cockatoo Island,30693
Jul-19,CTP,F8 Cockatoo Island,2369
Jul-19,Child/Youth,F8 Cockatoo Island,4706
Jul-19,Concession,F8 Cockatoo Island,993
Jul-19,Day Pass Child/Youth w/o SAF,F8 Cockatoo Island,62
Jul-19,Employee,F8 Cockatoo Island,120
Jul-19,Free Travel,F8 Cockatoo Island,42
Jul-19,School Student,F8 Cockatoo Island,92
Jul-19,Senior/Pensioner,F8 Cockatoo Island,8726
Jul-19,Sgl Trip Ferry Adult,F8 Cockatoo Island,844
Jul-19,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,448
Aug-19,Adult,118F Newcastle,25677
Aug-19,Child/Youth,118F Newcastle,4332
Aug-19,Concession,118F Newcastle,1401
Aug-19,Day Pass without SAF,118F Newcastle,2
Aug-19,Employee,118F Newcastle,520
Aug-19,Free Travel,118F Newcastle,514
Aug-19,School Student,118F Newcastle,1718
Aug-19,Senior/Pensioner,118F Newcastle,10467
Aug-19,Adult,F1 Manly,181143
Aug-19,CTP,F1 Manly,13514
Aug-19,Child/Youth,F1 Manly,18680
Aug-19,Concession,F1 Manly,6977
Aug-19,Day Pass without SAF,F1 Manly,5
Aug-19,Employee,F1 Manly,1076
Aug-19,Free Travel,F1 Manly,495
Aug-19,School Student,F1 Manly,280
Aug-19,Senior/Pensioner,F1 Manly,47169
Aug-19,Sgl Trip Ferry Adult,F1 Manly,9734
Aug-19,Sgl Trip Ferry Child/Youth,F1 Manly,2125
Aug-19,Adult,F2 Taronga Zoo,70340
Aug-19,CTP,F2 Taronga Zoo,4504
Aug-19,Child/Youth,F2 Taronga Zoo,15791
Aug-19,Concession,F2 Taronga Zoo,2136
Aug-19,Day Pass Child/Youth w/o SAF,F2 Taronga Zoo,11
Aug-19,Employee,F2 Taronga Zoo,218
Aug-19,Free Travel,F2 Taronga Zoo,114
Aug-19,School Student,F2 Taronga Zoo,86
Aug-19,Senior/Pensioner,F2 Taronga Zoo,11583
Aug-19,Sgl Trip Ferry Adult,F2 Taronga Zoo,4885
Aug-19,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,1570
Aug-19,Adult,F3 Parramatta River,140847
Aug-19,CTP,F3 Parramatta River,11539
Aug-19,Child/Youth,F3 Parramatta River,11109
Aug-19,Concession,F3 Parramatta River,3387
Aug-19,Day Pass Child/Youth w/o SAF,F3 Parramatta River,167
Aug-19,Day Pass without SAF,F3 Parramatta River,5
Aug-19,Employee,F3 Parramatta River,471
Aug-19,Free Travel,F3 Parramatta River,253
Aug-19,School Student,F3 Parramatta River,441
Aug-19,Senior/Pensioner,F3 Parramatta River,27262
Aug-19,Sgl Trip Ferry Adult,F3 Parramatta River,3569
Aug-19,Sgl Trip Ferry Child/Youth,F3 Parramatta River,1071
Aug-19,Adult,F4 Cross Harbour,200879
Aug-19,CTP,F4 Cross Harbour,18807
Aug-19,Child/Youth,F4 Cross Harbour,24657
Aug-19,Concession,F4 Cross Harbour,4833
Aug-19,Day Pass Child/Youth w/o SAF,F4 Cross Harbour,96
Aug-19,Day Pass without SAF,F4 Cross Harbour,15
Aug-19,Employee,F4 Cross Harbour,1020
Aug-19,Free Travel,F4 Cross Harbour,407
Aug-19,School Student,F4 Cross Harbour,508
Aug-19,Senior/Pensioner,F4 Cross Harbour,41522
Aug-19,Sgl Trip Ferry Adult,F4 Cross Harbour,10454
Aug-19,Sgl Trip Ferry Child/Youth,F4 Cross Harbour,3044
Aug-19,Adult,F5 Neutral Bay,27921
Aug-19,CTP,F5 Neutral Bay,2802
Aug-19,Child/Youth,F5 Neutral Bay,1375
Aug-19,Concession,F5 Neutral Bay,981
Aug-19,Day Pass Child/Youth w/o SAF,F5 Neutral Bay,5
Aug-19,Employee,F5 Neutral Bay,207
Aug-19,Free Travel,F5 Neutral Bay,44
Aug-19,School Student,F5 Neutral Bay,101
Aug-19,Senior/Pensioner,F5 Neutral Bay,9270
Aug-19,Sgl Trip Ferry Adult,F5 Neutral Bay,1088
Aug-19,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,300
Aug-19,Adult,F6 Mosman Bay,39076
Aug-19,CTP,F6 Mosman Bay,3039
Aug-19,Child/Youth,F6 Mosman Bay,1991
Aug-19,Concession,F6 Mosman Bay,1815
Aug-19,Day Pass Child/Youth w/o SAF,F6 Mosman Bay,6
Aug-19,Employee,F6 Mosman Bay,234
Aug-19,Free Travel,F6 Mosman Bay,76
Aug-19,School Student,F6 Mosman Bay,131
Aug-19,Senior/Pensioner,F6 Mosman Bay,10936
Aug-19,Sgl Trip Ferry Adult,F6 Mosman Bay,979
Aug-19,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,311
Aug-19,Adult,F7 Double Bay,10338
Aug-19,CTP,F7 Double Bay,1665
Aug-19,Child/Youth,F7 Double Bay,524
Aug-19,Concession,F7 Double Bay,204
Aug-19,Day Pass Child/Youth w/o SAF,F7 Double Bay,1
Aug-19,Employee,F7 Double Bay,7
Aug-19,Free Travel,F7 Double Bay,11
Aug-19,Senior/Pensioner,F7 Double Bay,2684
Aug-19,Sgl Trip Ferry Adult,F7 Double Bay,490
Aug-19,Sgl Trip Ferry Child/Youth,F7 Double Bay,156
Aug-19,Adult,F8 Cockatoo Island,28559
Aug-19,CTP,F8 Cockatoo Island,2485
Aug-19,Child/Youth,F8 Cockatoo Island,2372
Aug-19,Concession,F8 Cockatoo Island,1139
Aug-19,Day Pass Child/Youth w/o SAF,F8 Cockatoo Island,63
Aug-19,Day Pass without SAF,F8 Cockatoo Island,1
Aug-19,Employee,F8 Cockatoo Island,94
Aug-19,Free Travel,F8 Cockatoo Island,40
Aug-19,School Student,F8 Cockatoo Island,202
Aug-19,Senior/Pensioner,F8 Cockatoo Island,7831
Aug-19,Sgl Trip Ferry Adult,F8 Cockatoo Island,789
Aug-19,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,227
Sep-19,Adult,118F Newcastle,24308
Sep-19,Child/Youth,118F Newcastle,4114
Sep-19,Concession,118F Newcastle,1379
Sep-19,Day Pass Child/Youth w/o SAF,118F Newcastle,134
Sep-19,Day Pass without SAF,118F Newcastle,20
Sep-19,Employee,118F Newcastle,412
Sep-19,Free Travel,118F Newcastle,477
Sep-19,School Student,118F Newcastle,1398
Sep-19,Senior/Pensioner,118F Newcastle,10791
Sep-19,Adult,F1 Manly,205349
Sep-19,CTP,F1 Manly,21519
Sep-19,Child/Youth,F1 Manly,21096
Sep-19,Concession,F1 Manly,7366
Sep-19,Day Pass Child/Youth w/o SAF,F1 Manly,49
Sep-19,Day Pass without SAF,F1 Manly,11
Sep-19,Employee,F1 Manly,1203
Sep-19,Free Travel,F1 Manly,566
Sep-19,School Student,F1 Manly,248
Sep-19,Senior/Pensioner,F1 Manly,52092
Sep-19,Sgl Trip Ferry Adult,F1 Manly,9509
Sep-19,Sgl Trip Ferry Child/Youth,F1 Manly,1779
Sep-19,Adult,F2 Taronga Zoo,66122
Sep-19,CTP,F2 Taronga Zoo,6403
Sep-19,Child/Youth,F2 Taronga Zoo,12752
Sep-19,Concession,F2 Taronga Zoo,2272
Sep-19,Employee,F2 Taronga Zoo,231
Sep-19,Free Travel,F2 Taronga Zoo,122
Sep-19,School Student,F2 Taronga Zoo,61
Sep-19,Senior/Pensioner,F2 Taronga Zoo,11627
Sep-19,Sgl Trip Ferry Adult,F2 Taronga Zoo,3980
Sep-19,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,1169
Sep-19,Adult,F3 Parramatta River,138763
Sep-19,CTP,F3 Parramatta River,15583
Sep-19,Child/Youth,F3 Parramatta River,12413
Sep-19,Concession,F3 Parramatta River,3186
Sep-19,Day Pass Child/Youth w/o SAF,F3 Parramatta River,33
Sep-19,Day Pass without SAF,F3 Parramatta River,2
Sep-19,Employee,F3 Parramatta River,579
Sep-19,Free Travel,F3 Parramatta River,239
Sep-19,School Student,F3 Parramatta River,419
Sep-19,Senior/Pensioner,F3 Parramatta River,27060
Sep-19,Sgl Trip Ferry Adult,F3 Parramatta River,3329
Sep-19,Sgl Trip Ferry Child/Youth,F3 Parramatta River,993
Sep-19,Adult,F4 Cross Harbour,209046
Sep-19,CTP,F4 Cross Harbour,25475
Sep-19,Child/Youth,F4 Cross Harbour,25022
Sep-19,Concession,F4 Cross Harbour,5013
Sep-19,Day Pass Child/Youth w/o SAF,F4 Cross Harbour,41
Sep-19,Day Pass without SAF,F4 Cross Harbour,2
Sep-19,Employee,F4 Cross Harbour,1070
Sep-19,Free Travel,F4 Cross Harbour,424
Sep-19,School Student,F4 Cross Harbour,455
Sep-19,Senior/Pensioner,F4 Cross Harbour,42184
Sep-19,Sgl Trip Ferry Adult,F4 Cross Harbour,9894
Sep-19,Sgl Trip Ferry Child/Youth,F4 Cross Harbour,2573
Sep-19,Adult,F5 Neutral Bay,25270
Sep-19,CTP,F5 Neutral Bay,3108
Sep-19,Child/Youth,F5 Neutral Bay,1249
Sep-19,Concession,F5 Neutral Bay,917
Sep-19,Day Pass Child/Youth w/o SAF,F5 Neutral Bay,1
Sep-19,Employee,F5 Neutral Bay,144
Sep-19,Free Travel,F5 Neutral Bay,61
Sep-19,School Student,F5 Neutral Bay,76
Sep-19,Senior/Pensioner,F5 Neutral Bay,8336
Sep-19,Sgl Trip Ferry Adult,F5 Neutral Bay,856
Sep-19,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,240
Sep-19,Adult,F6 Mosman Bay,39087
Sep-19,CTP,F6 Mosman Bay,3793
Sep-19,Child/Youth,F6 Mosman Bay,2105
Sep-19,Concession,F6 Mosman Bay,1585
Sep-19,Employee,F6 Mosman Bay,223
Sep-19,Free Travel,F6 Mosman Bay,73
Sep-19,School Student,F6 Mosman Bay,100
Sep-19,Senior/Pensioner,F6 Mosman Bay,10746
Sep-19,Sgl Trip Ferry Adult,F6 Mosman Bay,867
Sep-19,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,333
Sep-19,Adult,F7 Double Bay,10280
Sep-19,CTP,F7 Double Bay,2224
Sep-19,Child/Youth,F7 Double Bay,646
Sep-19,Concession,F7 Double Bay,185
Sep-19,Employee,F7 Double Bay,28
Sep-19,Free Travel,F7 Double Bay,15
Sep-19,Senior/Pensioner,F7 Double Bay,2576
Sep-19,Sgl Trip Ferry Adult,F7 Double Bay,558
Sep-19,Sgl Trip Ferry Child/Youth,F7 Double Bay,142
Sep-19,Adult,F8 Cockatoo Island,30153
Sep-19,CTP,F8 Cockatoo Island,3356
Sep-19,Child/Youth,F8 Cockatoo Island,3669
Sep-19,Concession,F8 Cockatoo Island,1246
Sep-19,Day Pass Child/Youth w/o SAF,F8 Cockatoo Island,15
Sep-19,Employee,F8 Cockatoo Island,129
Sep-19,Free Travel,F8 Cockatoo Island,54
Sep-19,School Student,F8 Cockatoo Island,202
Sep-19,Senior/Pensioner,F8 Cockatoo Island,8107
Sep-19,Sgl Trip Ferry Adult,F8 Cockatoo Island,817
Sep-19,Sgl Trip Ferry Child/Youth,F8 Cockatoo Island,229
Oct-19,Adult,118F Newcastle,25563
Oct-19,Child/Youth,118F Newcastle,6025
Oct-19,Concession,118F Newcastle,1229
Oct-19,Day Pass without SAF,118F Newcastle,1
Oct-19,Employee,118F Newcastle,555
Oct-19,Free Travel,118F Newcastle,507
Oct-19,School Student,118F Newcastle,1056
Oct-19,Senior/Pensioner,118F Newcastle,12537
Oct-19,Adult,F1 Manly,223356
Oct-19,CTP,F1 Manly,41578
Oct-19,Child/Youth,F1 Manly,34510
Oct-19,Concession,F1 Manly,7969
Oct-19,Day Pass Child/Youth w/o SAF,F1 Manly,82
Oct-19,Day Pass without SAF,F1 Manly,38
Oct-19,Employee,F1 Manly,1591
Oct-19,Free Travel,F1 Manly,683
Oct-19,School Student,F1 Manly,261
Oct-19,Senior/Pensioner,F1 Manly,66842
Oct-19,Sgl Trip Ferry Adult,F1 Manly,12475
Oct-19,Sgl Trip Ferry Child/Youth,F1 Manly,2703
Oct-19,Adult,F2 Taronga Zoo,71736
Oct-19,CTP,F2 Taronga Zoo,11617
Oct-19,Child/Youth,F2 Taronga Zoo,18216
Oct-19,Concession,F2 Taronga Zoo,2154
Oct-19,Day Pass Child/Youth w/o SAF,F2 Taronga Zoo,90
Oct-19,Day Pass without SAF,F2 Taronga Zoo,6
Oct-19,Employee,F2 Taronga Zoo,302
Oct-19,Free Travel,F2 Taronga Zoo,145
Oct-19,School Student,F2 Taronga Zoo,43
Oct-19,Senior/Pensioner,F2 Taronga Zoo,13804
Oct-19,Sgl Trip Ferry Adult,F2 Taronga Zoo,4815
Oct-19,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,1577
Oct-19,Adult,F3 Parramatta River,144965
Oct-19,CTP,F3 Parramatta River,26641
Oct-19,Child/Youth,F3 Parramatta River,17617
Oct-19,Concession,F3 Parramatta River,3133
Oct-19,Day Pass Child/Youth w/o SAF,F3 Parramatta River,208
Oct-19,Day Pass without SAF,F3 Parramatta River,18
Oct-19,Employee,F3 Parramatta River,780
Oct-19,Free Travel,F3 Parramatta River,270
Oct-19,School Student,F3 Parramatta River,357
Oct-19,Senior/Pensioner,F3 Parramatta River,33574
Oct-19,Sgl Trip Ferry Adult,F3 Parramatta River,4535
Oct-19,Sgl Trip Ferry Child/Youth,F3 Parramatta River,1401
Oct-19,Adult,F4 Cross Harbour,211065
Oct-19,CTP,F4 Cross Harbour,44079
Oct-19,Child/Youth,F4 Cross Harbour,35478
Oct-19,Concession,F4 Cross Harbour,5039
Oct-19,Day Pass Child/Youth w/o SAF,F4 Cross Harbour,37
Oct-19,Day Pass without SAF,F4 Cross Harbour,5
Oct-19,Employee,F4 Cross Harbour,1145
Oct-19,Free Travel,F4 Cross Harbour,488
Oct-19,School Student,F4 Cross Harbour,367
Oct-19,Senior/Pensioner,F4 Cross Harbour,51045
Oct-19,Sgl Trip Ferry Adult,F4 Cross Harbour,11058
Oct-19,Sgl Trip Ferry Child/Youth,F4 Cross Harbour,3367
Oct-19,Adult,F5 Neutral Bay,26241
Oct-19,CTP,F5 Neutral Bay,5410
Oct-19,Child/Youth,F5 Neutral Bay,1694
Oct-19,Concession,F5 Neutral Bay,861
Oct-19,Day Pass Child/Youth w/o SAF,F5 Neutral Bay,5
Oct-19,Day Pass without SAF,F5 Neutral Bay,2
Oct-19,Employee,F5 Neutral Bay,202
Oct-19,Free Travel,F5 Neutral Bay,69
Oct-19,School Student,F5 Neutral Bay,63
Oct-19,Senior/Pensioner,F5 Neutral Bay,9510
Oct-19,Sgl Trip Ferry Adult,F5 Neutral Bay,1070
Oct-19,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,281
Oct-19,Adult,F6 Mosman Bay,38540
Oct-19,CTP,F6 Mosman Bay,6468
Oct-19,Child/Youth,F6 Mosman Bay,2554
Oct-19,Concession,F6 Mosman Bay,1522
Oct-19,Day Pass Child/Youth w/o SAF,F6 Mosman Bay,4
Oct-19,Employee,F6 Mosman Bay,238
Oct-19,Free Travel,F6 Mosman Bay,86
Oct-19,School Student,F6 Mosman Bay,80
Oct-19,Senior/Pensioner,F6 Mosman Bay,12080
Oct-19,Sgl Trip Ferry Adult,F6 Mosman Bay,1086
Oct-19,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,381
Oct-19,Adult,F7 Double Bay,10678
Oct-19,CTP,F7 Double Bay,3422
Oct-19,Child/Youth,F7 Double Bay,750
Oct-19,Concession,F7 Double Bay,181
Oct-19,Day Pass Child/Youth w/o SAF,F7 Double Bay,2
Oct-19,Employee,F7 Double Bay,24
Oct-19,Free Travel,F7 Double Bay,5
Oct-19,Senior/Pensioner,F7 Double Bay,3189
Oct-19,Sgl Trip Ferry Adult,F7 Double Bay,514
Oct-19,Sgl Trip Ferry Child/Youth,F7 Double Bay,142
