Year_Month,Card_type,Line,Trip
Aug-16,Child/Youth,F4 Darling Harbour,15568
Aug-16,Concession,F4 Darling Harbour,2274
Aug-16,Employee,F4 Darling Harbour,557
Aug-16,Free Travel,F4 Darling Harbour,193
Aug-16,School Student,F4 Darling Harbour,226
Aug-16,Senior/Pensioner,F4 Darling Harbour,17748
Aug-16,Sgl Trip Ferry Adult,F4 Darling Harbour,6020
Aug-16,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,1458
Aug-16,Adult,F5 Neutral Bay,32274
Aug-16,Child/Youth,F5 Neutral Bay,1393
Aug-16,Concession,F5 Neutral Bay,977
Aug-16,Employee,F5 Neutral Bay,223
Aug-16,Free Travel,F5 Neutral Bay,54
Aug-16,School Student,F5 Neutral Bay,39
Aug-16,Senior/Pensioner,F5 Neutral Bay,8843
Aug-16,Sgl Trip Ferry Adult,F5 Neutral Bay,776
Aug-16,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,132
Aug-16,Adult,F6 Mosman Bay,51321
Aug-16,Child/Youth,F6 Mosman Bay,2727
Aug-16,Concession,F6 Mosman Bay,2322
Aug-16,Employee,F6 Mosman Bay,374
Aug-16,Free Travel,F6 Mosman Bay,96
Aug-16,School Student,F6 Mosman Bay,84
Aug-16,Senior/Pensioner,F6 Mosman Bay,12537
Aug-16,Sgl Trip Ferry Adult,F6 Mosman Bay,817
Aug-16,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,176
Aug-16,Adult,F7 Eastern Suburbs,90309
Aug-16,Child/Youth,F7 Eastern Suburbs,6145
Aug-16,Concession,F7 Eastern Suburbs,2016
Aug-16,Employee,F7 Eastern Suburbs,419
Aug-16,Free Travel,F7 Eastern Suburbs,190
Aug-16,School Student,F7 Eastern Suburbs,140
Aug-16,Senior/Pensioner,F7 Eastern Suburbs,16397
Aug-16,Sgl Trip Ferry Adult,F7 Eastern Suburbs,2342
Aug-16,Sgl Trip Ferry Child/Youth,F7 Eastern Suburbs,443
Sep-16,Adult,118F Newcastle,23446
Sep-16,Child/Youth,118F Newcastle,5317
Sep-16,Concession,118F Newcastle,920
Sep-16,Employee,118F Newcastle,472
Sep-16,Free Travel,118F Newcastle,333
Sep-16,School Student,118F Newcastle,653
Sep-16,Senior/Pensioner,118F Newcastle,9120
Sep-16,Adult,F1 Manly,250792
Sep-16,Child/Youth,F1 Manly,31397
Sep-16,Concession,F1 Manly,9944
Sep-16,Employee,F1 Manly,1709
Sep-16,Free Travel,F1 Manly,644
Sep-16,School Student,F1 Manly,220
Sep-16,Senior/Pensioner,F1 Manly,55319
Sep-16,Sgl Trip Ferry Adult,F1 Manly,23200
Sep-16,Sgl Trip Ferry Child/Youth,F1 Manly,4055
Sep-16,Adult,F2 Taronga Zoo,67768
Sep-16,Child/Youth,F2 Taronga Zoo,16210
Sep-16,Concession,F2 Taronga Zoo,2131
Sep-16,Employee,F2 Taronga Zoo,245
Sep-16,Free Travel,F2 Taronga Zoo,101
Sep-16,School Student,F2 Taronga Zoo,30
Sep-16,Senior/Pensioner,F2 Taronga Zoo,9827
Sep-16,Sgl Trip Ferry Adult,F2 Taronga Zoo,4062
Sep-16,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,1260
Sep-16,Adult,F3 Parramatta River,172338
Sep-16,Child/Youth,F3 Parramatta River,19891
Sep-16,Concession,F3 Parramatta River,4990
Sep-16,Employee,F3 Parramatta River,951
Sep-16,Free Travel,F3 Parramatta River,314
Sep-16,School Student,F3 Parramatta River,581
Sep-16,Senior/Pensioner,F3 Parramatta River,35291
Sep-16,Sgl Trip Ferry Adult,F3 Parramatta River,7139
Sep-16,Sgl Trip Ferry Child/Youth,F3 Parramatta River,2080
Sep-16,Adult,F4 Darling Harbour,97313
Sep-16,Child/Youth,F4 Darling Harbour,19344
Sep-16,Concession,F4 Darling Harbour,2195
Sep-16,Employee,F4 Darling Harbour,607
Sep-16,Free Travel,F4 Darling Harbour,222
Sep-16,School Student,F4 Darling Harbour,180
Sep-16,Senior/Pensioner,F4 Darling Harbour,19631
Sep-16,Sgl Trip Ferry Adult,F4 Darling Harbour,7381
Sep-16,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,2261
Sep-16,Adult,F5 Neutral Bay,32375
Sep-16,Child/Youth,F5 Neutral Bay,1901
Sep-16,Concession,F5 Neutral Bay,1005
Sep-16,Employee,F5 Neutral Bay,241
Sep-16,Free Travel,F5 Neutral Bay,61
Sep-16,School Student,F5 Neutral Bay,17
Sep-16,Senior/Pensioner,F5 Neutral Bay,8708
Sep-16,Sgl Trip Ferry Adult,F5 Neutral Bay,889
Sep-16,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,196
Sep-16,Adult,F6 Mosman Bay,51313
Sep-16,Child/Youth,F6 Mosman Bay,3005
Sep-16,Concession,F6 Mosman Bay,1894
Sep-16,Employee,F6 Mosman Bay,395
Sep-16,Free Travel,F6 Mosman Bay,102
Sep-16,School Student,F6 Mosman Bay,50
Sep-16,Senior/Pensioner,F6 Mosman Bay,12606
Sep-16,Sgl Trip Ferry Adult,F6 Mosman Bay,1049
Sep-16,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,277
Sep-16,Adult,F7 Eastern Suburbs,88402
Sep-16,Child/Youth,F7 Eastern Suburbs,6237
Sep-16,Concession,F7 Eastern Suburbs,1991
Sep-16,Employee,F7 Eastern Suburbs,355
Sep-16,Free Travel,F7 Eastern Suburbs,143
Sep-16,School Student,F7 Eastern Suburbs,99
Sep-16,Senior/Pensioner,F7 Eastern Suburbs,14714
Sep-16,Sgl Trip Ferry Adult,F7 Eastern Suburbs,3208
Sep-16,Sgl Trip Ferry Child/Youth,F7 Eastern Suburbs,601
Oct-16,Adult,118F Newcastle,21228
Oct-16,Child/Youth,118F Newcastle,4254
Oct-16,Concession,118F Newcastle,908
Oct-16,Employee,118F Newcastle,441
Oct-16,Free Travel,118F Newcastle,250
Oct-16,School Student,118F Newcastle,538
Oct-16,Senior/Pensioner,118F Newcastle,8530
Oct-16,Adult,F1 Manly,302524
Oct-16,Child/Youth,F1 Manly,40777
Oct-16,Concession,F1 Manly,10522
Oct-16,Employee,F1 Manly,1993
Oct-16,Free Travel,F1 Manly,737
Oct-16,School Student,F1 Manly,263
Oct-16,Senior/Pensioner,F1 Manly,64585
Oct-16,Sgl Trip Ferry Adult,F1 Manly,26574
Oct-16,Sgl Trip Ferry Child/Youth,F1 Manly,3790
Oct-16,Adult,F2 Taronga Zoo,78394
Oct-16,Child/Youth,F2 Taronga Zoo,16197
Oct-16,Concession,F2 Taronga Zoo,2042
Oct-16,Employee,F2 Taronga Zoo,334
Oct-16,Free Travel,F2 Taronga Zoo,123
Oct-16,School Student,F2 Taronga Zoo,11
Oct-16,Senior/Pensioner,F2 Taronga Zoo,11428
Oct-16,Sgl Trip Ferry Adult,F2 Taronga Zoo,3965
Oct-16,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,857
Oct-16,Adult,F3 Parramatta River,184834
Oct-16,Child/Youth,F3 Parramatta River,23796
Oct-16,Concession,F3 Parramatta River,3848
Oct-16,Employee,F3 Parramatta River,977
Oct-16,Free Travel,F3 Parramatta River,368
Oct-16,School Student,F3 Parramatta River,461
Oct-16,Senior/Pensioner,F3 Parramatta River,39540
Oct-16,Sgl Trip Ferry Adult,F3 Parramatta River,8147
Oct-16,Sgl Trip Ferry Child/Youth,F3 Parramatta River,1929
Oct-16,Adult,F4 Darling Harbour,107964
Oct-16,Child/Youth,F4 Darling Harbour,22057
Oct-16,Concession,F4 Darling Harbour,2181
Oct-16,Employee,F4 Darling Harbour,704
Oct-16,Free Travel,F4 Darling Harbour,260
Oct-16,School Student,F4 Darling Harbour,168
Oct-16,Senior/Pensioner,F4 Darling Harbour,24054
Oct-16,Sgl Trip Ferry Adult,F4 Darling Harbour,8325
Oct-16,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,1891
Oct-16,Adult,F5 Neutral Bay,33547
Oct-16,Child/Youth,F5 Neutral Bay,1818
Oct-16,Concession,F5 Neutral Bay,960
Oct-16,Employee,F5 Neutral Bay,191
Oct-16,Free Travel,F5 Neutral Bay,63
