Year_Month,Card Type,Travel_Mode,Trip
2024 - Feb,Other,Train,224493
2024 - Feb,Free Opal,Train,22693
2024 - Feb,School Opal,Train,1086356
2024 - Feb,Gold Opal,Train,2316008
2024 - Feb,Opal Single Ticket,Train,103265
2024 - Feb,Opal Single Ticket,Train,41670
2024 - Mar,Adult,Train,11523217
2024 - Mar,Child/Youth,Train,673540
2024 - Mar,Concession,Train,1691060
2024 - Mar,CTP,Train,10182369
2024 - Mar,Day Pass Ticket,Train,118
2024 - Mar,Day Pass Ticket,Train,914
2024 - Mar,Other,Train,230790
2024 - Mar,Free Opal,Train,24443
2024 - Mar,School Opal,Train,1097497
2024 - Mar,Gold Opal,Train,2547532
2024 - Mar,Opal Single Ticket,Train,101397
2024 - Mar,Opal Single Ticket,Train,44722
2024 - Apr,Adult,Train,10396277
2024 - Apr,Child/Youth,Train,802714
2024 - Apr,Concession,Train,1317824
2024 - Apr,CTP,Train,9110115
2024 - Apr,Day Pass Ticket,Train,25
2024 - Apr,Day Pass Ticket,Train,855
2024 - Apr,Other,Train,223523
2024 - Apr,Free Opal,Train,23460
2024 - Apr,School Opal,Train,501127
2024 - Apr,Gold Opal,Train,2291788
2024 - Apr,Opal Single Ticket,Train,84587
2024 - Apr,Opal Single Ticket,Train,58860
2024 - May,Adult,Train,11533783
2024 - May,Child/Youth,Train,544546
2024 - May,Concession,Train,1426274
2024 - May,CTP,Train,10112517
2024 - May,Day Pass Ticket,Train,108
2024 - May,Day Pass Ticket,Train,1013
2024 - May,Other,Train,258310
2024 - May,Free Opal,Train,25614
2024 - May,School Opal,Train,1197747
2024 - May,Gold Opal,Train,2520358
2024 - May,Opal Single Ticket,Train,81902
2024 - May,Opal Single Ticket,Train,37892
2024 - Jun,Adult,Train,10305646
2024 - Jun,Child/Youth,Train,639003
2024 - Jun,Concession,Train,1100211
2024 - Jun,CTP,Train,9158776
2024 - Jun,Day Pass Ticket,Train,221
2024 - Jun,Day Pass Ticket,Train,953
2024 - Jun,Other,Train,236705
2024 - Jun,Free Opal,Train,22609
2024 - Jun,School Opal,Train,959920
2024 - Jun,Gold Opal,Train,2316168
2024 - Jun,Opal Single Ticket,Train,81125
2024 - Jun,Opal Single Ticket,Train,49362
